Provider_ID,Name,Type,Address,City,Contact,Contact_Length
1,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,16002200480,11
2,"Nielsen, Johnson and Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,19252838901,11
3,Miller-Black,Supermarket,"561 Martinez Point Suite 507
Guzmanchester, WA 94320",Lake Jesusview,0015172952206,13
4,"Clark, Prince and Williams",Grocery Store,"467 Bell Trail Suite 409
Port Jesus, IA 61188",Mendezmouth,5569448935,10
5,Coleman-Farley,Grocery Store,"078 Matthew Creek Apt. 319
Saraborough, MA 53978",Valentineside,1937146577,10
6,Lawson-Walters,Grocery Store,"1889 Barnes Gateway
Adamview, ID 87971",Shannonside,1448606074,10
7,Ortiz-Lee,Restaurant,"1842 Villarreal Shores
Williamfort, CT 44529",Lake Christopherburgh,5638897190,10
8,Curtis-Lewis,Supermarket,"4770 Miller Light Suite 260
New Charlesville, AR 97075",Washingtonville,15210278120,11
9,Nguyen Inc,Supermarket,"169 Scott Keys Suite 000
East Michelle, HI 57025",Tinamouth,8986092609,10
10,"Hall, Nguyen and Martinez",Catering Service,"71458 Mark Field Apt. 252
North Alexland, TX 02693",West Cherylfort,7409492480,10
11,"Flores, Jackson and Ford",Supermarket,"0663 Paul Field
South Haileyshire, AL 19652",South Robert,2765274329,10
12,Miller Ltd,Supermarket,"508 White Mission Apt. 893
Bryantborough, WV 79111",East Williamburgh,0019090214559,13
13,"Parker, Flores and Jennings",Restaurant,"117 Jasmine Isle Apt. 604
South Ryanville, MN 41933",Nicolefort,5166268840,10
14,Nguyen-Tran,Catering Service,"65833 Anthony Ridges
Williamsmouth, IA 42157",Garciamouth,18996194557,11
15,Valdez-Diaz,Grocery Store,"03142 Jones Trail Suite 601
Walkerton, AL 61502",West Theresaberg,0465449977,10
16,Brown and Sons,Catering Service,"1745 Chan Ridges
Ginaville, OK 07163",West Vanessafort,0184710550,10
17,Miller Ltd,Catering Service,"355 Rogers Ferry Suite 116
East Stevenburgh, MD 93961",West Dawn,8765379861,10
18,Edwards-Turner,Restaurant,"277 Ashley Wall Suite 063
Kimberlyshire, SC 60998",Cassandraville,3617066889,10
19,Davis Ltd,Supermarket,"USCGC Taylor
FPO AA 68109",South Melanieshire,1176249394,10
20,Drake-Martinez,Catering Service,"22920 Carpenter Turnpike Apt. 652
New Steven, AR 33177",East Samantha,0014542123510,13
21,Cross Group,Grocery Store,"802 Daniel Highway
Lake Sabrinamouth, DE 52427",Port Corystad,1709899040,10
22,Miller-Carter,Catering Service,"44329 Hendrix Land
Port Christine, AL 43242",Port Lisamouth,18680164774,11
23,Johnson Ltd,Supermarket,"32366 Kathy Fall
Rodriguezton, NH 27984",Bradleyborough,9165091396,10
24,"Black, Collins and Richard",Supermarket,"643 Galvan Burgs
Fletcherhaven, AZ 86988",Hestermouth,2660409664,10
25,Gutierrez-Palmer,Grocery Store,"019 Avila Station
Lake Dennisborough, AZ 84988",Anitashire,1552927832,10
26,Hansen Inc,Grocery Store,"9402 Corey Avenue
Jamesland, AL 54220",West Adammouth,4643112342,10
27,Lester Inc,Supermarket,"3187 Brittany Overpass Suite 160
Lake Elizabeth, CO 63236",New Natasha,0010370315899,13
